"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Automotores",2000,1,"Buenos Aires","B",16346,"06"
"Automotores",2000,1,"Catamarca","K",361,"10"
"Automotores",2000,1,"Chaco","H",551,"22"
"Automotores",2000,1,"Chubut","U",802,"26"
"Automotores",2000,1,"Ciudad Autónoma de Bs.As.","C",8892,"02"
"Automotores",2000,1,"Córdoba","X",4535,"14"
"Automotores",2000,1,"Corrientes","W",731,"18"
"Automotores",2000,1,"Entre Ríos","E",1223,"30"
"Automotores",2000,1,"Formosa","P",295,"34"
"Automotores",2000,1,"Jujuy","Y",557,"38"
"Automotores",2000,1,"La Pampa","L",422,"42"
"Automotores",2000,1,"La Rioja","F",330,"46"
"Automotores",2000,1,"Mendoza","M",1464,"50"
"Automotores",2000,1,"Misiones","N",900,"54"
"Automotores",2000,1,"Neuquén","Q",696,"58"
"Automotores",2000,1,"Río Negro","R",582,"62"
"Automotores",2000,1,"Salta","A",731,"66"
"Automotores",2000,1,"San Juan","J",553,"70"
"Automotores",2000,1,"San Luis","D",294,"74"
"Automotores",2000,1,"Santa Cruz","Z",349,"78"
"Automotores",2000,1,"Santa Fe","S",4520,"82"
"Automotores",2000,1,"Santiago del Estero","G",316,"86"
"Automotores",2000,1,"Tierra del Fuego","V",394,"94"
"Automotores",2000,1,"Tucumán","T",1082,"90"
"Automotores",2000,2,"Buenos Aires","B",12042,"06"
"Automotores",2000,2,"Catamarca","K",238,"10"
"Automotores",2000,2,"Chaco","H",349,"22"
"Automotores",2000,2,"Chubut","U",539,"26"
"Automotores",2000,2,"Ciudad Autónoma de Bs.As.","C",6188,"02"
"Automotores",2000,2,"Córdoba","X",3143,"14"
"Automotores",2000,2,"Corrientes","W",471,"18"
"Automotores",2000,2,"Entre Ríos","E",739,"30"
"Automotores",2000,2,"Formosa","P",223,"34"
"Automotores",2000,2,"Jujuy","Y",397,"38"
"Automotores",2000,2,"La Pampa","L",361,"42"
"Automotores",2000,2,"La Rioja","F",238,"46"
"Automotores",2000,2,"Mendoza","M",1119,"50"
"Automotores",2000,2,"Misiones","N",528,"54"
"Automotores",2000,2,"Neuquén","Q",560,"58"
"Automotores",2000,2,"Río Negro","R",461,"62"
"Automotores",2000,2,"Salta","A",601,"66"
"Automotores",2000,2,"San Juan","J",347,"70"
"Automotores",2000,2,"San Luis","D",228,"74"
"Automotores",2000,2,"Santa Cruz","Z",209,"78"
"Automotores",2000,2,"Santa Fe","S",2716,"82"
"Automotores",2000,2,"Santiago del Estero","G",278,"86"
"Automotores",2000,2,"Tierra del Fuego","V",193,"94"
"Automotores",2000,2,"Tucumán","T",630,"90"
"Automotores",2000,3,"Buenos Aires","B",11971,"06"
"Automotores",2000,3,"Catamarca","K",212,"10"
"Automotores",2000,3,"Chaco","H",321,"22"
"Automotores",2000,3,"Chubut","U",559,"26"
"Automotores",2000,3,"Ciudad Autónoma de Bs.As.","C",6425,"02"
"Automotores",2000,3,"Córdoba","X",3110,"14"
"Automotores",2000,3,"Corrientes","W",411,"18"
"Automotores",2000,3,"Entre Ríos","E",699,"30"
"Automotores",2000,3,"Formosa","P",204,"34"
"Automotores",2000,3,"Jujuy","Y",339,"38"
"Automotores",2000,3,"La Pampa","L",309,"42"
"Automotores",2000,3,"La Rioja","F",275,"46"
"Automotores",2000,3,"Mendoza","M",1035,"50"
"Automotores",2000,3,"Misiones","N",447,"54"
"Automotores",2000,3,"Neuquén","Q",503,"58"
"Automotores",2000,3,"Río Negro","R",426,"62"
"Automotores",2000,3,"Salta","A",497,"66"
"Automotores",2000,3,"San Juan","J",358,"70"
"Automotores",2000,3,"San Luis","D",270,"74"
"Automotores",2000,3,"Santa Cruz","Z",212,"78"
"Automotores",2000,3,"Santa Fe","S",2779,"82"
"Automotores",2000,3,"Santiago del Estero","G",239,"86"
"Automotores",2000,3,"Tierra del Fuego","V",208,"94"
"Automotores",2000,3,"Tucumán","T",695,"90"
"Automotores",2000,4,"Buenos Aires","B",9473,"06"
"Automotores",2000,4,"Catamarca","K",225,"10"
"Automotores",2000,4,"Chaco","H",312,"22"
"Automotores",2000,4,"Chubut","U",492,"26"
"Automotores",2000,4,"Ciudad Autónoma de Bs.As.","C",5562,"02"
"Automotores",2000,4,"Córdoba","X",2587,"14"
"Automotores",2000,4,"Corrientes","W",402,"18"
"Automotores",2000,4,"Entre Ríos","E",560,"30"
"Automotores",2000,4,"Formosa","P",152,"34"
"Automotores",2000,4,"Jujuy","Y",297,"38"
"Automotores",2000,4,"La Pampa","L",256,"42"
"Automotores",2000,4,"La Rioja","F",163,"46"
"Automotores",2000,4,"Mendoza","M",838,"50"
"Automotores",2000,4,"Misiones","N",374,"54"
"Automotores",2000,4,"Neuquén","Q",400,"58"
"Automotores",2000,4,"Río Negro","R",360,"62"
"Automotores",2000,4,"Salta","A",380,"66"
"Automotores",2000,4,"San Juan","J",327,"70"
"Automotores",2000,4,"San Luis","D",187,"74"
"Automotores",2000,4,"Santa Cruz","Z",176,"78"
"Automotores",2000,4,"Santa Fe","S",2268,"82"
"Automotores",2000,4,"Santiago del Estero","G",153,"86"
"Automotores",2000,4,"Tierra del Fuego","V",205,"94"
"Automotores",2000,4,"Tucumán","T",492,"90"
"Automotores",2000,5,"Buenos Aires","B",9363,"06"
"Automotores",2000,5,"Catamarca","K",183,"10"
"Automotores",2000,5,"Chaco","H",325,"22"
"Automotores",2000,5,"Chubut","U",512,"26"
"Automotores",2000,5,"Ciudad Autónoma de Bs.As.","C",5649,"02"
"Automotores",2000,5,"Córdoba","X",2743,"14"
"Automotores",2000,5,"Corrientes","W",375,"18"
"Automotores",2000,5,"Entre Ríos","E",578,"30"
"Automotores",2000,5,"Formosa","P",160,"34"
"Automotores",2000,5,"Jujuy","Y",338,"38"
"Automotores",2000,5,"La Pampa","L",304,"42"
"Automotores",2000,5,"La Rioja","F",231,"46"
"Automotores",2000,5,"Mendoza","M",1018,"50"
"Automotores",2000,5,"Misiones","N",436,"54"
"Automotores",2000,5,"Neuquén","Q",470,"58"
"Automotores",2000,5,"Río Negro","R",389,"62"
"Automotores",2000,5,"Salta","A",414,"66"
"Automotores",2000,5,"San Juan","J",325,"70"
"Automotores",2000,5,"San Luis","D",188,"74"
"Automotores",2000,5,"Santa Cruz","Z",223,"78"
"Automotores",2000,5,"Santa Fe","S",2349,"82"
"Automotores",2000,5,"Santiago del Estero","G",192,"86"
"Automotores",2000,5,"Tierra del Fuego","V",206,"94"
"Automotores",2000,5,"Tucumán","T",609,"90"
"Automotores",2000,6,"Buenos Aires","B",9474,"06"
"Automotores",2000,6,"Catamarca","K",207,"10"
"Automotores",2000,6,"Chaco","H",306,"22"
"Automotores",2000,6,"Chubut","U",524,"26"
"Automotores",2000,6,"Ciudad Autónoma de Bs.As.","C",6119,"02"
"Automotores",2000,6,"Córdoba","X",2881,"14"
"Automotores",2000,6,"Corrientes","W",390,"18"
"Automotores",2000,6,"Entre Ríos","E",560,"30"
"Automotores",2000,6,"Formosa","P",199,"34"
"Automotores",2000,6,"Jujuy","Y",310,"38"
"Automotores",2000,6,"La Pampa","L",278,"42"
"Automotores",2000,6,"La Rioja","F",243,"46"
"Automotores",2000,6,"Mendoza","M",1150,"50"
"Automotores",2000,6,"Misiones","N",395,"54"
"Automotores",2000,6,"Neuquén","Q",424,"58"
"Automotores",2000,6,"Río Negro","R",369,"62"
"Automotores",2000,6,"Salta","A",438,"66"
"Automotores",2000,6,"San Juan","J",301,"70"
"Automotores",2000,6,"San Luis","D",246,"74"
"Automotores",2000,6,"Santa Cruz","Z",178,"78"
"Automotores",2000,6,"Santa Fe","S",2456,"82"
"Automotores",2000,6,"Santiago del Estero","G",242,"86"
"Automotores",2000,6,"Tierra del Fuego","V",159,"94"
"Automotores",2000,6,"Tucumán","T",579,"90"
"Automotores",2000,7,"Buenos Aires","B",8758,"06"
"Automotores",2000,7,"Catamarca","K",177,"10"
"Automotores",2000,7,"Chaco","H",332,"22"
"Automotores",2000,7,"Chubut","U",505,"26"
"Automotores",2000,7,"Ciudad Autónoma de Bs.As.","C",5937,"02"
"Automotores",2000,7,"Córdoba","X",2977,"14"
"Automotores",2000,7,"Corrientes","W",422,"18"
"Automotores",2000,7,"Entre Ríos","E",670,"30"
"Automotores",2000,7,"Formosa","P",190,"34"
"Automotores",2000,7,"Jujuy","Y",301,"38"
"Automotores",2000,7,"La Pampa","L",269,"42"
"Automotores",2000,7,"La Rioja","F",199,"46"
"Automotores",2000,7,"Mendoza","M",933,"50"
"Automotores",2000,7,"Misiones","N",372,"54"
"Automotores",2000,7,"Neuquén","Q",384,"58"
"Automotores",2000,7,"Río Negro","R",378,"62"
"Automotores",2000,7,"Salta","A",382,"66"
"Automotores",2000,7,"San Juan","J",374,"70"
"Automotores",2000,7,"San Luis","D",257,"74"
"Automotores",2000,7,"Santa Cruz","Z",173,"78"
"Automotores",2000,7,"Santa Fe","S",2405,"82"
"Automotores",2000,7,"Santiago del Estero","G",224,"86"
